api_num,other_id,latitude,longitude,stusps,county,municipality,well_name,operator,spud_date,plug_date,well_type,well_status,well_configuration,ft_category,wellwiki,src_url,ft_uid
47-011-00882,011-00882,"38.40267649836789","-82.08577684070461",WV,"011",,"ROBERTS, S. A., ETAL","PILLAR ENERGY, LLC",,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-011-00882,,"4620220"
47-107-00184,107-00184,"39.34297242047052","-81.5020727230328",WV,"107",,"WAY, H. E.",OPERATOR UNKNOWN,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-107-00184,,"4620221"
47-109-00467,109-00467,"37.74053034479139","-81.68949888698347",WV,"109",,"TOLER, CHARLES",OPERATOR UNKNOWN,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-109-00467,,"4620222"
47-001-01030,001-01030,"37.0462224768942","-81",WV,"001",,"CROSTON, A.",OPERATOR UNKNOWN,,,Not Available,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-001-01030,,"4620223"
47-001-01217,001-01217,"37.0462224768942","-81",WV,"001",,"HARRIS, WANDA",OPERATOR UNKNOWN,,,Not Available,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-001-01217,,"4620224"
47-033-02789,033-02789,"39.344027788355945","-80.44821540710916",WV,"033",,"SWIGER, STANLEY","MUTSCHELKNAUS, CLARENCE W",,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-033-02789,,"4620225"
47-035-00062,035-00062,"38.97150477445071","-81.63876012452035",WV,"035",,"MORRISON, HENRY",BLUE CREEK GAS CO.,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-035-00062,,"4620226"
47-043-00676,043-00676,"38.28155771469518","-81.82444924042859",WV,"043",,"CHAPMAN, GEORGE",OPERATOR UNKNOWN,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-043-00676,,"4620227"
47-043-02142,043-02142,"38.261861768690245","-81.94578795026395",WV,"043",,"NAY, JAMES","EAST RESOURCES, INC.",,,Unknown,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-043-02142,,"4620228"
47-043-02781,043-02781,"38.323787518375674","-82.05473345315177",WV,"043",,SALMONS,OPERATOR UNKNOWN,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-043-02781,,"4620229"
47-049-00040,049-00040,"39.418506884040596","-80.20144054704248",WV,"049",,"NIXON, SAMUEL","OWENS-ILLINOIS, INC.",,,Unknown,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-049-00040,,"4620230"
47-049-01859,049-01859,"39.512302528038596","-80.45446764934661",WV,"049",,COASTAL TIMBERLANDS,CONSOLIDATION COAL COMPANY,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-049-01859,,"4620231"
47-049-02086,049-02086,"39.57382523628434","-80.37875942538396",WV,"049",,CONSOLIDATION COAL CO,CONSOLIDATION COAL COMPANY,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-049-02086,,"4620232"
47-049-00414,049-00414,"39.581059788130155","-80.47351681617786",WV,"049",,"HIBBS, D. C.",EQT PRODUCTION COMPANY,,,Unknown,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-049-00414,,"4620233"
47-051-00680,051-00680,"39.81962388019993","-80.63176052759489",WV,"051",,"MORRIS, W.D.","EAST RESOURCES, INC.",,,Unknown,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-051-00680,,"4620234"
47-047-01430,047-01430,"37.3997331446181","-81.43803445880421",WV,"047",,MEGA MINERALS,CONSOL GAS COMPANY,,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-047-01430,,"4620235"
47-067-00830,067-00830,"38.29570279949771","-81.10598828492705",WV,"067",,AMHERST INDUSTRIES,CABOT OIL & GAS CORPORATION,,,Unknown,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-067-00830,,"4620236"
47-073-01037,073-01037,"37.0462224768942","-81",WV,"073",,"HALL, H. KENNETH","C.W. RIGGS, INC.",,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-073-01037,,"4620237"
47-059-00662,059-00662,"37.84752893875413","-82.33586329253586",WV,"059",,"NEWSOM, ANDY","WARE, E C",,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-059-00662,,"4620238"
47-005-01174,005-01174,"37.9821484349272","-81.61025508891302",WV,"005",,FEDERAL COAL,EQT PRODUCTION COMPANY,,,Unknown,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-005-01174,,"4620239"
47-073-02427,073-02427,"39.33442849070775","-81.29448280163068",WV,"073",,"LEWIS, ROBERT","LUCAS WELL SERVICE, INC.",,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-073-02427,,"4620240"
47-073-00325,073-00325,"39.37917452064903","-81.25799468169001",WV,"073",,"WAGNER, MARY L.",OPERATOR UNKNOWN,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-073-00325,,"4620241"
47-085-00162,085-00162,"39.26112030806194","-81.07192667424029",WV,"085",,"FREDRICK, CHARLES H.",OPERATOR UNKNOWN,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-085-00162,,"4620242"
47-085-00325,085-00325,"39.35214792819857","-80.89760204348865",WV,"085",,"PECK, T.D.",OPERATOR UNKNOWN,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-085-00325,,"4620243"
47-005-01222,005-01222,"38.08052994924891","-81.89300950102667",WV,"005",,"HOPKINS, C. C.","EAST RESOURCES, INC.",,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-005-01222,,"4620244"
47-007-01702,007-01702,"38.63046910438747","-80.89673641605451",WV,"007",,"HART, R. G., ETAL",STONESTREET LANDS CO.,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-007-01702,,"4620245"
47-085-07353,085-07353,"39.249067081997595","-80.90496220937334",WV,"085",,"NUTTER, WANDA",ENERGY CORPORATION OF AMERICA,,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-085-07353,,"4620246"
47-081-00444,081-00444,"37.0462224768942","-81",WV,"081",,BEAVER COAL CO.,OPERATOR UNKNOWN,,,Not Available,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-081-00444,,"4620247"
47-097-00091,097-00091,"38.72223682711677","-80.30479157651537",WV,"097",,"SMALLRIDGE, E. J.","COLUMBIA NATURAL RESOURCES, LLC",,,Unknown,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-097-00091,,"4620248"
47-097-00152,097-00152,"38.85439887017413","-80.25958051948453",WV,"097",,FITZGERALD & LONG,HANLEY & BIRD,,,Unknown,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-097-00152,,"4620249"
47-099-00955,099-00955,"38.32966140687747","-82.4699259957004",WV,"099",,"NIXON, N.B.",OPERATOR UNKNOWN,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-099-00955,,"4620250"
47-095-00850,095-00850,"39.52947475806549","-80.85270419491516",WV,"095",,"COTRILL, JACOB","ALLIANCE PETROLEUM CO., LLC",,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-095-00850,,"4620251"
47-087-00157,087-00157,"38.706346340296996","-81.28171811826698",WV,"087",,"MURRAY, T.J., ET AL","HUNT, K METAL",,,Unknown,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-087-00157,,"4620252"
47-099-01787,099-01787,"38.30994423446908","-82.30553394103917",WV,"099",,"ADKINS, VIVIAN",OPERATOR UNKNOWN,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-099-01787,,"4620253"
47-087-01425,087-01425,"38.6307646976414","-81.45240705687658",WV,"087",,"JACKSON, W. E.",OPERATOR UNKNOWN,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-087-01425,,"4620254"
47-087-01602,087-01602,"38.63163560049051","-81.3787275564206",WV,"087",,"CANTERBURY, G. W.",APOLLO PETROLEUM CORPORATION,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-087-01602,,"4620255"
47-043-00820,043-00820,"38.30621852451006","-81.88984769858205",WV,"043",,"BOWMAN, SAMUEL","HG ENERGY, LLC",,,House Gas,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-043-00820,,"4620256"
47-005-00752,005-00752,"38.112622001607484","-81.53175682290743",WV,"005",,SHONK LAND CO,"P-G&H, INC.",,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-005-00752,,"4620257"
47-005-01939,005-01939,"38.09622193815796","-81.54313158535473",WV,"005",,SHONK LAND CO.,"P-G&H, INC.",,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-005-01939,,"4620258"
47-103-00556,103-00556,"37.0462224768942","-81",WV,"103",,"BARTRUG, ESSIE","NEELY, D",,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-103-00556,,"4620259"
