api_num,other_id,latitude,longitude,stusps,county,municipality,well_name,operator,spud_date,plug_date,well_type,well_status,well_configuration,ft_category,wellwiki,src_url,ft_uid
47-001-00850,001-00850,"39.12930843448096","-80.07363069446498",WV,"001",,"HALLER, B. S.",BRAXTON OIL AND GAS CORP.,,,Gas Production,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-001-00850,,"4621411"
47-001-00851,001-00851,"39.141743682179765","-80.20303443717695",WV,"001",,"WARD, A. M.",WV MINERAL GROUP LLC,,,Gas Production,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-001-00851,,"4621412"
47-001-00852,001-00852,"39.233467006474946","-80.02862332548551",WV,"001",,"WEAVER, E. M.",WV MINERAL GROUP LLC,,,Gas Production,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-001-00852,,"4621413"
47-001-00862,001-00862,"39.211781149135994","-80.01141608780027",WV,"001",,"MITCHELL, I. C.",WV MINERAL GROUP LLC,,,Gas Production,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-001-00862,,"4621414"
47-001-00866,001-00866,"39.09867006514135","-80.07274527171809",WV,"001",,"CORLEY, CHARLES","CHESAPEAKE APPALACHIA, L.L.C.",,,Gas Production,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-001-00866,,"4621415"
47-001-01639,001-01639,"39.159942510976144","-80.0376296174856",WV,"001",,"PHILIPPI, CITY OF",DENEX PETROLEUM CORP.,,,Not Available,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-001-01639,,"4621416"
47-001-01710,001-01710,"39.20505781472404","-80.09391709829907",WV,"001",,"MOSS, HENRY & LUMMIE",WOLF RUN MINING LLC,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-001-01710,,"4621417"
47-001-01769,001-01769,"39.20583662381746","-80.094995778656",WV,"001",,"MOSS, HENRY",WOLF RUN MINING LLC,,,Gas Production,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-001-01769,,"4621418"
47-001-01788,001-01788,"39.19058161128295","-79.890634389728",WV,"001",,"ERVIN, CHARLES L., ETAL","CROSTON, MILES",,,House Gas,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-001-01788,,"4621419"
47-001-02026,001-02026,"39.21322036976005","-80.10365774409303",WV,"001",,"CORDER, LACO",WOLF RUN MINING LLC,,,Gas Production,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-001-02026,,"4621420"
